
========================================================================================================================
【파일】 1986_1990_sermon.txt  (총 169편)
========================================================================================================================
날짜                                  | 제목                                                 | 주요     | 보조
------------------------------------------------------------------------------------------------------------------------
1986년 12월 28일                       | 뿌린 피                                               | 기타     | 
1986년 1월 5일                         | 복 있는 사람                                            | 기타     | 
N/A                                 | 네 마음을 지키라                                          | 생각     | 
N/A                                 | 죽은 자와 방불한 사람                                       | 꿈      | 믿음
N/A                                 | 환난 날에 부르짖는 기도                                      | 기타     | 
1986년 2월 9일                         | 신앙의 열매                                             | 믿음     | 
1986년 2월 16일                        | 그 모든 은택을 잊지 말지어다                                   | 기타     | 
N/A                                 | 기도와 성령의 역사                                         | 기타     | 
1986년 3월 2일                         | 의와 성결                                              | 기타     | 
1986년 4월 6일                         | 하나님과 동행하는 3가지 조건                                   | 믿음     | 
N/A                                 | 믿는 방법                                              | 믿음     | 
N/A                                 | 내가 약할 때 그때에 곧 강하리라                                 | 기타     | 
1986년 5월 4일                         | 주의 교양과 훈계로 양육하라                                    | 기타     | 
1986년 5월 21일                        | 구제와 은혜                                             | 기타     | 
N/A                                 | 예수님이 주시는 해방                                        | 기타     | 
N/A                                 | 화해                                                 | 기타     | 
1986년 6월 15일                        | 애 착                                                | 기타     | 
1986년 6월 29일                        | 지금은 은혜 받을만한 때                                      | 기타     | 
1986년 7월 1일                         | 어떻게 믿어야 하나                                         | 믿음     | 
N/A                                 | 환난 날에 나를 부르라                                       | 기타     | 
1986년 7월 20일                        | 마음의 밭, 생각의 씨앗                                      | 생각     | 꿈
1986년 7월 27일                        | 물이 동할때                                             | 기타     | 
1986년 8월 3일                         | 내 원대로 마옵시고                                         | 기타     | 
1986년 8월 10일                        | 그것으로 갈라지게 하라                                       | 기타     | 
N/A                                 | 포도주가 모자란지라                                         | 기타     | 
N/A                                 | 기독신자의 삼대의무                                         | 기타     | 
1986년 8월 31일                        | 나라이 임하옵시며                                          | 꿈      | 
1986년 9월 14일                        | 아브라함의 신앙                                           | 믿음     | 꿈
1986년 9월 21일                        | 축복된 생활태도                                           | 생각     | 
1986년 9월 28일                        | 하나님, 나 그리고 세상                                      | 기타     | 
N/A                                 | 아시안 게임후의 한국                                        | 기타     | 
N/A                                 | 너희는 이렇게 기도하라                                       | 기타     | 
N/A                                 | 사랑의 요건                                             | 기타     | 
1986년 11월 2일                        | 새 신분                                               | 기타     | 
N/A                                 | 신령한 사람                                             | 기타     | 
N/A                                 | 천국의 메신저                                            | 기타     | 
1986년 11월 23일                       | 야훼 하나님을 인하여 감사하라                                   | 기타     | 
1986년 12월 7일                        | 무엇이 달라졌나                                           | 기타     | 
N/A                                 | 너는 나를 따르라                                          | 기타     | 
1986년 12월 21일                       | 믿음에 굳게 서는 길                                        | 믿음     | 
1987년 1월 4일                         | 너 있는 곳에서 동서남북을 바라보라                                | 꿈      | 
1987년 1월 18일                        | 왜 기도해야 되나                                          | 기타     | 
1987년 2월 8일                         | 신앙의 삼단계                                            | 믿음     | 
1987년 2월 15일                        | 이 말을 하였으니 귀신이 나갔느니라                                | 말      | 
N/A                                 | 창조에 대한 하나님의 뜻                                      | 기타     | 
1987년 3월 22일                        | 천국의 증인                                             | 말      | 
1987년 3월 29일                        | 큰 기쁨이 있더라                                          | 기타     | 
1987년 4월 5일                         | 거울을 보는 것 같이                                        | 생각     | 
1987년 4월 19일                        | 채무를 청산한 부활                                         | 기타     | 
1987년 4월 26일                        | 십자가의 위대한 승리                                        | 기타     | 
1987년 5월 3일                         | 당신의 가정은 건강합니까?                                     | 기타     | 
N/A                                 | 부모와 자녀                                             | 기타     | 
N/A                                 | 희생과 보상의 법칙                                         | 기타     | 
N/A                                 | 네가 믿으면 하나님의 영광을 보리라                                | 믿음     | 
N/A                                 | 유월절 어린양 예수                                         | 기타     | 
1987년 6월 21일                        | 낮은 마음                                              | 생각     | 
1987년 7월 5일                         | 현실적 관심사와 영원한 관심사                                   | 기타     | 
1987년 7월 12일                        | 거짓되고 헛된 것                                          | 기타     | 
1987년 8월 5일                         | 얕은 곳과 깊은 곳                                         | 기타     | 
1987년 8월 9일                         | 제일은 사랑이라                                           | 기타     | 
1987년 8월 23일                        | 나는 포도나무요 너희는 가지니                                   | 기타     | 
N/A                                 | 일을 행하시는 야웨                                         | 기타     | 
1987년 9월 13일                        | 우리가 잃어서는 안 될 것들                                    | 기타     | 
N/A                                 | 증인과 증거                                             | 말      | 
1987년 10월 4일                        | 지금 이후 우리가 할일                                       | 기타     | 
1987년 10월 11일                       | 진실과 허위                                             | 기타     | 
N/A                                 | 지혜가 부족하거든                                          | 기타     | 
1987년 10월 25일                       | 용서                                                 | 기타     | 
1987년 11월 1일                        | 천국복음                                               | 기타     | 
N/A                                 | 예수님의 사역                                            | 기타     | 
1987년 12월 6일                        | 오직 내 안에 그리스도께서 사신 것이라                              | 기타     | 
N/A                                 | 참된 민주화의 길                                          | 기타     | 
